                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3596,                 3.7807,                 1.2887,                0.39708,                   0.63,                0.26683,                0.14277,                 1.0394,                  4.218,                 1.0351,                 0.0003,                 0.0003,                 0.0003
                      2,                 1.2508,                 1.2967,                 1.1017,                0.68333,                   0.58,                0.57918,                0.35218,                  1.078,                 1.9683,                 1.0982,             0.00060772,             0.00060772,             0.00060772
                      3,                 1.3297,                  1.191,                 1.1235,                0.76747,                   0.53,                0.58352,                0.33191,                 1.2535,                 2.5606,                 1.2279,             0.00090278,             0.00090278,             0.00090278
                      4,                 1.2977,                 1.0216,                  1.141,                0.07472,                   0.34,                0.04526,                0.02312,                 1.4104,                 41.501,                 1.3344,              0.0011852,              0.0011852,              0.0011852
                      5,                 1.2905,                0.98765,                 1.1117,                0.18023,                   0.42,                0.11076,                0.05946,                 1.2964,                 10.722,                 1.4456,              0.0014549,              0.0014549,              0.0014549
                      6,                 1.3008,                 1.0324,                 1.1542,                0.24319,                0.30528,                0.11119,                 0.0477,                 2.0673,                 4.1961,                 2.0332,              0.0017119,              0.0017119,              0.0017119
                      7,                 1.3705,                0.97404,                  1.182,                0.49109,                   0.56,                0.42319,                0.23972,                 1.5431,                  1.545,                 1.4822,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.3108,                0.96194,                 1.1239,                0.68611,                   0.49,                0.57437,                0.28992,                 1.6446,                 1.7656,                 1.5638,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.2256,                0.83243,                 1.1452,                0.65455,                0.54948,                0.49389,                 0.2517,                 1.9511,                 1.9157,                 1.7092,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.2227,                0.80079,                 1.1143,                 0.7139,                0.44917,                0.50028,                0.25652,                 2.0748,                 1.6886,                 1.7328,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.2702,                0.83725,                 1.0931,                 0.7972,                0.51103,                0.65198,                0.39911,                 1.1424,                0.82331,                 1.2037,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.2118,                0.81322,                  1.159,                0.78756,                   0.59,                0.67789,                0.44265,                 1.0798,                0.83656,                 1.1122,               0.001604,               0.001604,               0.001604
                     13,                 1.1969,                0.79648,                 1.0907,                0.86412,                0.69956,                0.77585,                0.46478,                  1.088,                0.73629,                 1.1728,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.2232,                0.75655,                 1.1278,                0.81936,                   0.68,                0.76725,                0.43601,                 1.4181,                0.91767,                 1.5123,              0.0015248,              0.0015248,              0.0015248
                     15,                  1.221,                0.74927,                 1.1165,                0.86529,                   0.76,                0.83937,                0.49858,                 1.1397,                0.75756,                 1.1753,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.1098,                 0.7079,                 1.0724,                0.90153,                   0.82,                0.88989,                0.55333,                 1.0305,                  0.672,                  1.074,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.1057,                0.68586,                 1.0898,                0.89425,                0.84564,                0.88469,                0.55767,                0.98732,                0.59723,                 1.1157,               0.001406,               0.001406,               0.001406
                     18,                 1.0909,                 0.6696,                  1.057,                 0.8336,                   0.82,                0.84949,                0.56149,                0.91249,                0.54673,                 1.0453,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.0587,                0.64576,                  1.026,                0.84297,                0.75156,                0.81365,                0.54588,                0.89365,                0.60236,                 1.0381,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.0643,                0.63786,                 1.0584,                0.87395,                0.76267,                0.85316,                0.55796,                0.91026,                0.53809,                 1.0248,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.0282,                0.64131,                 1.0451,                0.94146,                   0.76,                 0.8492,                0.58607,                0.91058,                0.54221,                 1.0218,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.0479,                0.65989,                 1.0221,                0.92363,                   0.76,                0.86138,                0.57217,                0.88717,                0.55071,                 1.0074,               0.001208,               0.001208,               0.001208
                     23,                0.97218,                 0.5977,                 1.0128,                0.84924,                   0.81,                0.87422,                0.59979,                0.86287,                0.50954,                0.98923,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.0176,                0.59477,                  1.026,                0.82085,                   0.86,                0.85923,                0.59602,                0.93959,                0.57621,                 1.0256,              0.0011288,              0.0011288,              0.0011288
                     25,                0.98629,                0.58698,                 1.0038,                0.89684,                   0.83,                0.86816,                0.61074,                0.81845,                0.56867,                0.98601,              0.0010892,              0.0010892,              0.0010892
                     26,                  0.982,                0.58704,                 1.0259,                  0.926,                0.75087,                0.88886,                0.59069,                0.86548,                0.49733,                 1.0276,              0.0010496,              0.0010496,              0.0010496
                     27,                0.92856,                 0.5712,                 1.0098,                0.82757,                   0.82,                0.87585,                0.58254,                0.90066,                0.48924,                 1.0108,                0.00101,                0.00101,                0.00101
                     28,                0.94273,                 0.5423,                0.97329,                0.85319,                   0.83,                0.88133,                0.59877,                0.82595,                0.45113,                0.97098,              0.0009704,              0.0009704,              0.0009704
                     29,                0.93896,                0.56573,                 1.0126,                0.93306,                0.83637,                 0.8955,                0.64364,                0.76389,                0.43785,                0.94493,              0.0009308,              0.0009308,              0.0009308
                     30,                0.90685,                0.55225,                0.97885,                0.90708,                 0.8786,                0.90831,                0.62083,                0.87823,                0.44949,                0.99546,              0.0008912,              0.0008912,              0.0008912
                     31,                0.92878,                0.54117,                 1.0119,                0.91747,                   0.74,                0.85299,                0.60609,                0.83345,                0.44879,                0.96545,              0.0008516,              0.0008516,              0.0008516
                     32,                0.91174,                0.52587,                0.98411,                 0.9552,                0.85296,                0.89246,                0.62113,                0.84922,                0.46329,                0.98105,               0.000812,               0.000812,               0.000812
                     33,                0.88814,                0.54921,                0.99462,                0.88675,                   0.87,                0.87801,                0.61441,                0.85935,                 0.4734,                0.99307,              0.0007724,              0.0007724,              0.0007724
                     34,                0.91183,                0.52525,                  0.989,                0.98794,                0.81892,                0.90868,                0.61693,                0.84607,                0.43998,                0.96098,              0.0007328,              0.0007328,              0.0007328
                     35,                0.88614,                0.53292,                0.99956,                0.93538,                0.86857,                0.92369,                 0.6559,                0.85443,                0.43833,                0.97198,              0.0006932,              0.0006932,              0.0006932
                     36,                0.85558,                0.49774,                0.97183,                0.92653,                   0.87,                0.91802,                0.65052,                  0.743,                0.40982,                0.93945,              0.0006536,              0.0006536,              0.0006536
                     37,                0.88979,                0.53196,                 1.0024,                0.93474,                0.85939,                0.91946,                0.66206,                0.78082,                0.40806,                0.93418,               0.000614,               0.000614,               0.000614
                     38,                0.84575,                0.48953,                0.96131,                0.93455,                   0.87,                0.92601,                0.67237,                0.71475,                0.38362,                0.93038,              0.0005744,              0.0005744,              0.0005744
                     39,                0.83434,                0.49233,                0.98197,                0.96064,                   0.87,                0.91521,                0.68435,                0.69467,                 0.3825,                 0.9259,              0.0005348,              0.0005348,              0.0005348
                     40,                0.85603,                0.48352,                0.94265,                0.95299,                   0.89,                0.92444,                0.68118,                 0.7395,                0.38071,                0.93186,              0.0004952,              0.0004952,              0.0004952
                     41,                 0.8127,                0.47083,                0.96251,                 0.9603,                   0.86,                0.92349,                0.68172,                0.71522,                0.38105,                0.93873,              0.0004556,              0.0004556,              0.0004556
                     42,                0.80141,                0.44224,                0.93017,                0.97661,                0.83519,                0.92528,                0.66501,                0.74553,                0.39122,                0.93855,               0.000416,               0.000416,               0.000416
                     43,                0.79134,                0.43842,                0.94044,                0.93534,                0.86802,                0.92445,                0.67488,                 0.7641,                0.38122,                0.95043,              0.0003764,              0.0003764,              0.0003764
                     44,                 0.7715,                 0.4301,                0.92733,                0.91503,                 0.8615,                0.91266,                0.66963,                0.74074,                0.37463,                0.95379,              0.0003368,              0.0003368,              0.0003368
                     45,                0.75987,                0.40517,                0.96126,                 0.9432,                0.83026,                0.91442,                0.68968,                0.68446,                0.36725,                0.92118,              0.0002972,              0.0002972,              0.0002972
                     46,                0.73209,                0.40811,                0.94385,                0.91554,                   0.87,                0.91777,                0.68201,                0.71802,                0.37774,                0.94118,              0.0002576,              0.0002576,              0.0002576
                     47,                0.72391,                 0.4112,                 0.9283,                0.96636,                0.86179,                0.92091,                0.69696,                0.68132,                0.37038,                0.92448,               0.000218,               0.000218,               0.000218
                     48,                 0.7007,                 0.3812,                0.93149,                0.98836,                0.84916,                0.91998,                0.70438,                0.65041,                0.35514,                0.91268,              0.0001784,              0.0001784,              0.0001784
                     49,                0.67606,                0.37209,                0.91141,                0.95614,                0.87201,                0.92301,                0.71207,                0.64297,                0.34035,                0.91598,              0.0001388,              0.0001388,              0.0001388
                     50,                0.70369,                0.37708,                0.89756,                0.98203,                   0.87,                0.92722,                0.71597,                0.64252,                 0.3371,                0.91496,               9.92e-05,               9.92e-05,               9.92e-05
